RANK,ISBN,도서명,저자명,출판사명,출간일,분야,정가
1,9791188331796,돈의 속성,김승호,스노우폭스북스,20200615,경제/경영,"\16,800"
2,9791196831080,부의 대이동,오건영,페이지2북스,20200723,경제/경영,"\17,000"
3,9791190413152,한번도 경험해보지 못한 나라,강양구,천년의상상,20200825,정치/사회,"\17,800"
4,9788901243665,김미경의 리부트,김미경,웅진지식하우스,20200701,자기계발,"\16,000"
5,9791197023095,트바로티 김호중,김호중,스튜디오오드리,20200814,시/에세이,"\17,000"
6,9791190382175,더 해빙(The Having)(양장본 HardCover),이서윤,수오서재,20200301,자기계발,"\16,000"
7,9791187481720,존리의 부자되기 습관(10만부 기념 리커버 한정판)(양장본 HardCover),존 리,지식노마드,20200115,경제/경영,"\15,000"
8,9791165210144,주식투자 무작정 따라하기(2020)(개정판),윤재수,길벗,20200110,경제/경영,"\18,000"
9,9788936434267,아몬드(양장본 HardCover),손원평,창비,20170331,소설,"\12,000"
10,9791164135592,흔한남매. 5(양장본 HardCover),흔한남매 (원작),아이세움,20200629,어린이(초등),"\12,000"
11,9788967358020,매우 예민한 사람들을 위한 책,전홍진,글항아리,20200723,인문,"\18,000"
12,9788934992493,죽은 자의 집 청소(양장본 HardCover),김완,김영사,20200530,시/에세이,"\13,800"
13,9788901244600,살고 싶다는 농담(양장본 HardCover),허지웅,웅진지식하우스,20200812,시/에세이,"\16,000"
14,9791190456098,성숙한 어른이 갖춰야 할 좋은 심리 습관,류쉬안,다연,20200511,자기계발,"\15,000"
15,9788960518025,노화의 종말,데이비드 A. 싱클레어,부키,20200730,인문,"\22,000"
16,9788932920337,기억. 1(양장본 HardCover),베르나르 베르베르,열린책들,20200530,소설,"\14,800"
17,9788965422785,해커스 토익 기출 보카 TOEIC VOCA(개정판 5판),David Cho,해커스어학연구소,20200305,외국어,"\12,900"
18,9788997780402,검찰개혁과 촛불시민,조국백서추진위원회,오마이북,20200805,정치/사회,"\25,000"
19,9791130604626,이토록 공부가 재미있어지는 순간(10만 부 기념 스페셜 에디션),박성혁,다산북스,20200727,시/에세이,"\15,000"
20,9788950988487,킵고잉(Keep Going),주언규,21세기북스,20200724,경제/경영,"\17,000"
21,9788901243658,기분이 태도가 되지 않게,레몬심리,갤리온,20200630,자기계발,"\14,000"
22,9791165211653,인생의 태도(양장본 HardCover),웨인 다이어,더퀘스트,20200619,인문,"\16,000"
23,9791130629636,애쓰지 않고 편안하게,김수현,놀,20200514,시/에세이,"\15,000"
24,9788954672214,"시선으로부터,",정세랑,문학동네,20200605,소설,"\14,000"
25,9791135485121,초집중,니르 이얄,안드로메디안,20200722,자기계발,"\16,800"
26,9791196797744,괜찮지 않은데 괜찮은 척했다,글배우,강한별,20200723,시/에세이,"\13,500"
27,9791130630762,아비투스,도리스 메르틴,다산초당,20200803,인문,"\18,000"
28,9791165382674,설민석의 한국사 대모험. 14,설민석,아이휴먼,20200708,어린이(초등),"\12,000"
29,9791197080890,만남은 지겹고 이별은 지쳤다,색과 체,떠오름,20200623,시/에세이,"\13,800"
30,9788994702346,부의 추월차선,엠제이 드마코,토트,20130820,경제/경영,"\15,000"
31,9788950986377,정책의 배신,윤희숙,21세기북스,20200303,정치/사회,"\17,000"
32,9788965423348,해커스 토익 RC 리딩(Reading)(2020)(개정판 8판),David Cho,해커스어학연구소,20200302,외국어,"\18,800"
33,9791190786355,보통의 언어들(나를 숨 쉬게 하는)(양장본 HardCover),김이나,위즈덤하우스,20200527,시/에세이,"\14,500"
34,9791190492973,무엇을 위해 살죠?(양장본 HardCover),박진영,은행나무,20200815,시/에세이,"\15,000"
35,9791159099878,세계미래보고서 2035-2055,박영숙,교보문고,20200605,경제/경영,"\22,000"
36,9791190908153,악몽을 먹고 자란 소년(사이코지만 괜찮아 특별 동화 1)(양장본 HardCover),조용,위즈덤하우스,20200718,소설,"\12,000"
37,9791158740757,코로나 이후의 세계,제이슨 솅커,미디어숲,20200530,경제/경영,"\14,800"
38,9788998075712,"파타고니아, 파도가 칠 때는 서핑을",이본 쉬나드,라이팅하우스,20200430,경제/경영,"\19,800"
39,9791190313131,지적 대화를 위한 넓고 얕은 지식: 제로 편(리커버 한정판)(리커버:K)(양장본 HardCover),채사장,웨일북(whalebooks),20191224,인문,"\19,800"
40,9788947544085,하버드 상위 1퍼센트의 비밀,정주영,한국경제신문,20181017,자기계발,"\16,000"
41,9788970127248,총 균 쇠,재레드 다이아몬드,문학사상,20051219,역사/문화,"\28,000"
42,9791130631134,완전학습 바이블,임작가,다산에듀,20200818,가정/육아,"\17,000"
43,9791190242271,재무제표 모르면 주식투자 절대로 하지마라(스타강사 사경인 회계사의)(개정판),사경인,베가북스,20200110,경제/경영,"\19,800"
44,9791196893170,설민석의 세계사 대모험. 6,설민석,단꿈아이,20200815,어린이(초등),"\12,000"
45,9791190846011,나는 왜 네 말이 힘들까,박재연,한빛라이프,20200701,인문,"\16,800"
46,9791159036514,데미안(리커버 한정판)(초판본)(1919년 오리지널 초판본 패브릭 에디션)(양장본 HardCover),헤르만 헤세,더스토리,20171030,소설,"\12,000"
47,9791190090018,우리가 빛의 속도로 갈 수 없다면(양장본 HardCover),김초엽,허블,20190624,소설,"\14,000"
48,9788934972464,사피엔스,유발 하라리,김영사,20151124,인문,"\22,000"
49,9788950989064,Go Go 카카오프렌즈. 15: 브라질,김미영,아울북,20200722,어린이(초등),"\12,000"
50,9791130627878,내가 원하는 것을 나도 모를 때,전승환,다산초당,20200108,인문,"\16,000"
51,9788965423355,해커스 토익 LC 리스닝(Listening)(2020)(개정판 8판),David Cho,해커스어학연구소,20200318,외국어,"\18,800"
52,9791158511821,부의 재편,선대인,토네이도,20200810,경제/경영,"\18,000"
53,9788965963790,룬샷,사피 바칼,흐름출판,20200427,경제/경영,"\18,000"
54,9791164452941,"안녕, 앤(더모던 감성클래식 6)(양장본 HardCover)",버지 윌슨,더모던,20200801,소설,"\16,800"
55,9791187119845,나는 나로 살기로 했다,김수현,마음의숲,20200316,시/에세이,"\13,800"
56,9791190299060,1cm 다이빙(썸머 캣 에디션),태수,피카(FIKA),20200121,시/에세이,"\13,500"
57,9791189320690,나 혼자만 레벨업. 3(만화)(디앤씨웹툰),장성락 (REDICE STUDIO),디앤씨미디어,20200827,만화,"\14,500"
58,9788932474274,공간이 만든 공간,유현준,을유문화사,20200501,인문,"\16,500"
59,9791158883591,부자 아빠 가난한 아빠. 1(20주년 특별 기념판)(개정증보판),로버트 기요사키,민음인,20180222,경제/경영,"\15,800"
60,9791130630366,30개 도시로 읽는 세계사,조 지무쇼,다산북스,20200706,역사/문화,"\16,800"
61,9791190710053,어른의 어휘력,유선경,앤의서재,20200815,인문,"\16,500"
62,9788925536927,백만장자 시크릿,하브 에커,알에이치코리아,20200713,경제/경영,"\16,000"
63,9791165075064,녹나무의 파수꾼(양장본 HardCover),히가시노 게이고,소미미디어,20200317,소설,"\17,800"
64,9788995563502,부의 인문학,브라운스톤,오픈마인드,20191004,경제/경영,"\15,000"
65,9791158510619,타이탄의 도구들(리커버 에디션),팀 페리스,토네이도,20200309,자기계발,"\15,000"
66,9788998274931,봉제인형 살인사건,다니엘 콜,북플라자,20171020,소설,"\15,000"
67,9791187142560,데일 카네기 인간관계론,데일 카네기,현대지성,20191007,자기계발,"\11,500"
68,9791190908160,좀비 아이(사이코지만 괜찮아 특별 동화 2)(양장본 HardCover),조용,위즈덤하우스,20200713,소설,"\12,000"
